id,email,review,date
110,robert991@hotmail.com,"Automatic 20% gratuity, even increasing the credit card charge after the customer leaves.  Is this truehttp:www.yelp.comtopicscottsdale-automatic-20-gratuity-are-we-legally-obliged-to-pay-it-if-its-not-noted-on-the-menu",2024-01-01 06:36:03
143,emilyjohnson@hotmail.com,"I got my Open Water Certification at All Wet Scuba a couple years ago. Right from the start I was welcomed as family. Everything went so well, that I continued training with them getting all kinds of specialties as well as my Advanced. After hanging out with every one at the shop not only did I feel like family I became family. I went on to get my Rescue, divemaster and eventually became an Instructor... all because of the great service, fantastic instructors, and the warm and fuzzy feeling I got from everyone. Thanks All Wet Scuba for changing my life for the better.",2024-01-01 13:38:26
22,james.williams@outlook.com,Just took my 2 yr old daughter this morning for her very first dance class. Everyone was super friendly and accommodating (bringing out tap shoes for us to try since it was our first visit) and my daughter had a blast!  We're both excited to go back next week. ;),2024-01-02 03:57:56
16,ebrown@hotmail.com,"Awesome drink specials during happy hour. Fantastic wings that are crispy and delicious, wing night on Tuesday and Thursday!",2024-01-02 08:08:56
249,emma.martinez@yahoo.com,"http:www.groupon.comdealstinas-ethiopian-cafefb_ref=anonymous&fb_source=profile_multilineomg, tina's is open again... new location:Cooper Marketplace785 W Warner Rd., Suite 103 Gilbert, Arizona 85233 get your groupons now!i used to be a regular here, best food and company in town!",2024-01-03 03:21:48
149,orodriguez@hotmail.com,What an abomination! For soup noodles its pretty decent but please don't advertise it as ramen. Its more like instant ramen that you can get for 75 cents with tiny bits of meat that you end up paying 8 dollars for. If I can make it better at home then we have a problem...,2024-01-06 04:03:51
220,olivia.davis24@yahoo.com,"Been a while since we posted. Haven't been too many places recently.I was headed to a local lunch spot downtown earlier than usual due to a 12:30 meeting (12:30 seriously) and this was the first place we found that was serving lunch to the 1st lunch period crowd (remember those poor kids in elementary school that pulled the short straw and ate lunch at 11 AM - that was us that day).Now I am not a drinker.  My dog imbibes more than I do, so the beer list was kind of lost on me (besides, I always think it is bad mojo to go into a meeting after lunch and wreak of anything, especially alcohol).My CW and I were the first to be seated - maybe that was our mistake.  She ordered the quiche of the day and I ordered a sirloin burger w sweet potato fries.Her salad was okay.  Nice greens although not much else going on in it.From there, it went straight downhill.  When CW's quiche arrived, it was lovely to look at - leeks and andouille sausage - and cold.  Not warm, not cooler than you would prefer. It was flipping cold.  So she explained that to the waiter who took it back.  Then she waited and waited and waited.  Expecting it to be nuked, this was taking quite a while.When he brought the plate out, it was a new piece of quiche - he explained that when they tried to heat up the original piece, it crumbled so they made a new quiche.  As a former waitstaff (waitress but trying to be PC here), I would have stayed around and made sure that this piece was more to her liking. But he bolted. And - you guessed - this piece was equally as bad.Now I know - you are going to say she was picky.  But I actually touched the quiche to allay my fears and it was flipping cold.  My guess The quiches were either chilled or frozen and they didn't know how to reheat them.  She ended up with a 12 of a chicken salad panini with dried cherries although I will be darned if there were any dried cherries in it.  So CW is going vote this bistro off the island.My lunch  I ordered the Brew-a-Burger Sirloin rare.  When it came, I don't think it was much warmer than CW's quiche - yes, I order it rare and expect the inside to be warm but I also expect the outside to be hot which it wasn't.  The cheese sat on the top and never softened, let alone melted.  I also expect a rare burger to be flavorful without the addition of much else - and it wasn't.  About 12 way through, I almost wondered if they had given me a ground chicken burger in error.  At that point, I figured it was not worth pursuing. Should they have given CW a free lunch  Or a GC for a free lunch upon a return visit  Doesn't matter what they should have done as they did nothing - the bill arrived and was paid as expected.All in all, it was not a great food experience.  I don't think we will be returning for lunch anytime soon. Was it a bad day for the kitchen  Did we arrive before they were really ready to serve lunch  Not sure but, either way, when you spend $25 plus tip for lunch, I think there are better places to drop it.  Pity the kitchen staff cannot live up to the restaurant's name.",2024-01-08 00:41:21
12,robert991@hotmail.com,"Went there last night, great concept, good looking food ... Tasteless and bland.",2024-01-08 00:59:59
182,michaelbrown@protonmail.com,"Fool me once, shame on you.  Fool me twice, shame on ME!  I had stopped in to this place with friends to have a drink, and despite being a little put off by the servers, I came back because they usually have a really nice selection of beers.  My first mistake was to order anything from the kitchen.  My second mistake was to take my wife there and meet with some friends, and order something from the kitchen.  Bottom line - the kitchen, the people who plan the menu, the wait staff, and probably the kitchen manager are basically clueless about food and food service.  If you want to try an unusual beer that you have never tried before (beware, some of them are pretty nasty and they no longer seem to want to give you a ""sample"" cup before you order) and you don't mind spending a LOT of money for an unusual beer, by all means stop by and check out.  Just do yourself a favor and don't come hungry!",2024-01-08 13:29:33
3,jmiller@hotmail.com,"Ok so decided to try this local place tonight, we were 4 people and boy oh boy after we had to wait  over 1 hour for 4 simple poutine, we got up and had to leave unacceptable! The manager just shrug her shoulders no apology at all. The place was reasonably busy buy there was no reason to have to wait so long! They will never see me there again. Very unprofessional! Over hyped & over priced. Not worth the time",2024-01-08 20:57:57
